,0,2,1,3,8,4,7,5,6,10,12,11,9,13,14,17,15,18,16,21,19,23,24,26,20,25,22
0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,0,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,0,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,0,,,,,,,,,,,,,,,
4,,,,,,,0,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,0,0,,,,,,,,,,,,,,,,
5,,,,,0,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,0,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,0,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,0,,,,,,,,,,,,,
9,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,0,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,0,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,0,,,,,,,
15,,,,,,,,,,,,,,,,0,,0,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,0,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,
19,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,0,,,
